         161712 function calls (161025 primitive calls) in 52.778 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.003    0.003   52.779   52.779 /Users/alabbahs/Documents/coursework/c12-LMNH-team-2/docker/pipeline-image/extract.py:43(generate_plant_dataframe)
       51    0.001    0.000   52.693    1.033 /Users/alabbahs/Documents/coursework/c12-LMNH-team-2/docker/pipeline-image/extract.py:31(get_plant)
       51    0.001    0.000   52.685    1.033 /Users/alabbahs/Documents/coursework/c12-LMNH-team-2/docker/pipeline-image/.venv/lib/python3.12/site-packages/requests/api.py:62(get)
       51    0.001    0.000   52.684    1.033 /Users/alabbahs/Documents/coursework/c12-LMNH-team-2/docker/pipeline-image/.venv/lib/python3.12/site-packages/requests/api.py:14(request)
       51    0.001    0.000   52.674    1.033 /Users/alabbahs/Documents/coursework/c12-LMNH-team-2/docker/pipeline-image/.venv/lib/python3.12/site-packages/requests/sessions.py:500(request)
       51    0.002    0.000   52.570    1.031 /Users/alabbahs/Documents/coursework/c12-LMNH-team-2/docker/pipeline-image/.venv/lib/python3.12/site-packages/requests/sessions.py:673(send)
       51    0.001    0.000   52.551    1.030 /Users/alabbahs/Documents/coursework/c12-LMNH-team-2/docker/pipeline-image/.venv/lib/python3.12/site-packages/requests/adapters.py:613(send)
       51    0.002    0.000   52.518    1.030 /Users/alabbahs/Documents/coursework/c12-LMNH-team-2/docker/pipeline-image/.venv/lib/python3.12/site-packages/urllib3/connectionpool.py:594(urlopen)
       51    0.001    0.000   52.508    1.030 /Users/alabbahs/Documents/coursework/c12-LMNH-team-2/docker/pipeline-image/.venv/lib/python3.12/site-packages/urllib3/connectionpool.py:379(_make_request)
       51    0.003    0.000   49.599    0.973 /Users/alabbahs/Documents/coursework/c12-LMNH-team-2/docker/pipeline-image/.venv/lib/python3.12/site-packages/urllib3/connection.py:438(getresponse)
       51    0.001    0.000   49.580    0.972 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/http/client.py:1384(getresponse)
       51    0.002    0.000   49.577    0.972 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/http/client.py:324(begin)
       51    0.002    0.000   49.543    0.971 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/http/client.py:291(_read_status)
      561    0.001    0.000   49.542    0.088 {method 'readline' of '_io.BufferedReader' objects}
       51    0.001    0.000   49.540    0.971 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/socket.py:694(readinto)
       51    0.001    0.000   49.540    0.971 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/ssl.py:1237(recv_into)
       51    0.000    0.000   49.539    0.971 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/ssl.py:1095(read)
       51   49.539    0.971   49.539    0.971 {method 'read' of '_ssl._SSLSocket' objects}
       51    0.001    0.000    2.884    0.057 /Users/alabbahs/Documents/coursework/c12-LMNH-team-2/docker/pipeline-image/.venv/lib/python3.12/site-packages/urllib3/connectionpool.py:1087(_validate_conn)
       51    0.003    0.000    2.883    0.057 /Users/alabbahs/Documents/coursework/c12-LMNH-team-2/docker/pipeline-image/.venv/lib/python3.12/site-packages/urllib3/connection.py:613(connect)
       51    0.002    0.000    1.905    0.037 /Users/alabbahs/Documents/coursework/c12-LMNH-team-2/docker/pipeline-image/.venv/lib/python3.12/site-packages/urllib3/connection.py:731(_ssl_wrap_socket_and_match_hostname)
       51    0.000    0.000    1.900    0.037 /Users/alabbahs/Documents/coursework/c12-LMNH-team-2/docker/pipeline-image/.venv/lib/python3.12/site-packages/urllib3/util/ssl_.py:392(ssl_wrap_socket)
       51    0.000    0.000    1.899    0.037 /Users/alabbahs/Documents/coursework/c12-LMNH-team-2/docker/pipeline-image/.venv/lib/python3.12/site-packages/urllib3/util/ssl_.py:493(_ssl_wrap_socket_impl)
       51    0.000    0.000    1.899    0.037 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/ssl.py:449(wrap_socket)
       51    0.002    0.000    1.898    0.037 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/ssl.py:956(_create)
       51    0.001    0.000    1.887    0.037 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/ssl.py:1313(do_handshake)
       51    1.886    0.037    1.886    0.037 {method 'do_handshake' of '_ssl._SSLSocket' objects}
       51    0.001    0.000    0.974    0.019 /Users/alabbahs/Documents/coursework/c12-LMNH-team-2/docker/pipeline-image/.venv/lib/python3.12/site-packages/urllib3/connection.py:190(_new_conn)
       51    0.001    0.000    0.973    0.019 /Users/alabbahs/Documents/coursework/c12-LMNH-team-2/docker/pipeline-image/.venv/lib/python3.12/site-packages/urllib3/util/connection.py:27(create_connection)
       51    0.852    0.017    0.852    0.017 {method 'connect' of '_socket.socket' objects}
       51    0.000    0.000    0.115    0.002 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/socket.py:947(getaddrinfo)
       51    0.113    0.002    0.113    0.002 {built-in method _socket.getaddrinfo}
       51    0.001    0.000    0.057    0.001 /Users/alabbahs/Documents/coursework/c12-LMNH-team-2/docker/pipeline-image/.venv/lib/python3.12/site-packages/requests/sessions.py:750(merge_environment_settings)
       51    0.000    0.000    0.055    0.001 /Users/alabbahs/Documents/coursework/c12-LMNH-team-2/docker/pipeline-image/.venv/lib/python3.12/site-packages/requests/utils.py:826(get_environ_proxies)
        1    0.000    0.000    0.048    0.048 /Users/alabbahs/Documents/coursework/c12-LMNH-team-2/docker/pipeline-image/.venv/lib/python3.12/site-packages/pandas/util/_decorators.py:325(wrapper)
        1    0.000    0.000    0.048    0.048 /Users/alabbahs/Documents/coursework/c12-LMNH-team-2/docker/pipeline-image/.venv/lib/python3.12/site-packages/pandas/core/frame.py:3018(to_parquet)
        1    0.000    0.000    0.048    0.048 /Users/alabbahs/Documents/coursework/c12-LMNH-team-2/docker/pipeline-image/.venv/lib/python3.12/site-packages/pandas/io/parquet.py:409(to_parquet)
       51    0.001    0.000    0.045    0.001 /Users/alabbahs/Documents/coursework/c12-LMNH-team-2/docker/pipeline-image/.venv/lib/python3.12/site-packages/requests/sessions.py:457(prepare_request)
       51    0.001    0.000    0.037    0.001 /Users/alabbahs/Documents/coursework/c12-LMNH-team-2/docker/pipeline-image/.venv/lib/python3.12/site-packages/requests/utils.py:765(should_bypass_proxies)
       51    0.000    0.000    0.034    0.001 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/urllib/request.py:2684(proxy_bypass)
       51    0.000    0.000    0.030    0.001 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/http/client.py:245(parse_headers)
     19/6    0.000    0.000    0.029    0.005 <frozen importlib._bootstrap>:1349(_find_and_load)
     18/5    0.000    0.000    0.029    0.006 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     17/5    0.000    0.000    0.028    0.006 <frozen importlib._bootstrap>:911(_load_unlocked)
     11/5    0.000    0.000    0.028    0.006 <frozen importlib._bootstrap_external>:989(exec_module)
       51    0.001    0.000    0.027    0.001 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/http/client.py:231(_parse_header_lines)
    42/10    0.000    0.000    0.027    0.003 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     11/5    0.000    0.000    0.027    0.005 {built-in method builtins.exec}
       51    0.001    0.000    0.026    0.001 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/email/parser.py:56(parsestr)
       51    0.000    0.000    0.026    0.001 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/urllib/request.py:2670(proxy_bypass_macosx_sysconf)
       51    0.001    0.000    0.025    0.000 /Users/alabbahs/Documents/coursework/c12-LMNH-team-2/docker/pipeline-image/.venv/lib/python3.12/site-packages/requests/models.py:351(prepare)
       51    0.001    0.000    0.025    0.000 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/email/parser.py:41(parse)
        1    0.000    0.000    0.024    0.024 /Users/alabbahs/Documents/coursework/c12-LMNH-team-2/docker/pipeline-image/.venv/lib/python3.12/site-packages/pandas/io/parquet.py:51(get_engine)
        1    0.000    0.000    0.024    0.024 /Users/alabbahs/Documents/coursework/c12-LMNH-team-2/docker/pipeline-image/.venv/lib/python3.12/site-packages/pandas/io/parquet.py:162(__init__)
        1    0.001    0.001    0.024    0.024 /Users/alabbahs/Documents/coursework/c12-LMNH-team-2/docker/pipeline-image/.venv/lib/python3.12/site-packages/pandas/io/parquet.py:173(write)
