         161960 function calls (161273 primitive calls) in 37.307 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.003    0.003   37.308   37.308 /Users/joshuasigma/Documents/Sigma/museum-dannyGs-codedungeon/extract/extract.py:43(generate_plant_dataframe)
       51    0.001    0.000   37.219    0.730 /Users/joshuasigma/Documents/Sigma/museum-dannyGs-codedungeon/extract/extract.py:31(get_plant)
       51    0.001    0.000   37.212    0.730 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/requests/api.py:62(get)
       51    0.001    0.000   37.211    0.730 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/requests/api.py:14(request)
       51    0.001    0.000   37.202    0.729 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/requests/sessions.py:500(request)
       51    0.002    0.000   37.118    0.728 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/requests/sessions.py:673(send)
       51    0.001    0.000   37.100    0.727 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/requests/adapters.py:613(send)
       51    0.001    0.000   37.070    0.727 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/urllib3/connectionpool.py:594(urlopen)
       51    0.001    0.000   37.061    0.727 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/urllib3/connectionpool.py:379(_make_request)
       51    0.003    0.000   33.419    0.655 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/urllib3/connection.py:438(getresponse)
       51    0.001    0.000   33.403    0.655 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/http/client.py:1384(getresponse)
       51    0.002    0.000   33.400    0.655 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/http/client.py:324(begin)
       51    0.002    0.000   33.371    0.654 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/http/client.py:291(_read_status)
      561    0.002    0.000   33.370    0.059 {method 'readline' of '_io.BufferedReader' objects}
       51    0.001    0.000   33.368    0.654 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/socket.py:693(readinto)
       51    0.001    0.000   33.368    0.654 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/ssl.py:1237(recv_into)
       51    0.000    0.000   33.367    0.654 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/ssl.py:1095(read)
       51   33.367    0.654   33.367    0.654 {method 'read' of '_ssl._SSLSocket' objects}
       51    0.001    0.000    3.615    0.071 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/urllib3/connectionpool.py:1087(_validate_conn)
       51    0.003    0.000    3.615    0.071 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/urllib3/connection.py:613(connect)
       51    0.002    0.000    2.435    0.048 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/urllib3/connection.py:731(_ssl_wrap_socket_and_match_hostname)
       51    0.000    0.000    2.428    0.048 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/urllib3/util/ssl_.py:392(ssl_wrap_socket)
       51    0.000    0.000    2.426    0.048 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/urllib3/util/ssl_.py:493(_ssl_wrap_socket_impl)
       51    0.001    0.000    2.426    0.048 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/ssl.py:449(wrap_socket)
       51    0.002    0.000    2.426    0.048 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/ssl.py:956(_create)
       51    0.001    0.000    2.416    0.047 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/ssl.py:1313(do_handshake)
       51    2.414    0.047    2.414    0.047 {method 'do_handshake' of '_ssl._SSLSocket' objects}
       51    0.001    0.000    1.170    0.023 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/urllib3/connection.py:190(_new_conn)
       51    0.001    0.000    1.169    0.023 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/urllib3/util/connection.py:27(create_connection)
       51    1.060    0.021    1.060    0.021 {method 'connect' of '_socket.socket' objects}
       51    0.000    0.000    0.103    0.002 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/socket.py:946(getaddrinfo)
       51    0.102    0.002    0.102    0.002 {built-in method _socket.getaddrinfo}
        1    0.000    0.000    0.051    0.051 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/pandas/util/_decorators.py:325(wrapper)
        1    0.000    0.000    0.051    0.051 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/pandas/core/frame.py:3018(to_parquet)
        1    0.000    0.000    0.051    0.051 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/pandas/io/parquet.py:409(to_parquet)
       51    0.001    0.000    0.050    0.001 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/requests/sessions.py:750(merge_environment_settings)
       51    0.000    0.000    0.048    0.001 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/requests/utils.py:826(get_environ_proxies)
       51    0.001    0.000    0.034    0.001 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/requests/sessions.py:457(prepare_request)
       51    0.000    0.000    0.032    0.001 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/requests/utils.py:765(should_bypass_proxies)
       51    0.000    0.000    0.030    0.001 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/urllib/request.py:2684(proxy_bypass)
        1    0.001    0.001    0.029    0.029 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/pandas/io/parquet.py:173(write)
     19/6    0.000    0.000    0.026    0.004 <frozen importlib._bootstrap>:1349(_find_and_load)
     18/5    0.000    0.000    0.026    0.005 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
       51    0.000    0.000    0.025    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/http/client.py:245(parse_headers)
     17/5    0.000    0.000    0.025    0.005 <frozen importlib._bootstrap>:911(_load_unlocked)
     11/5    0.000    0.000    0.025    0.005 <frozen importlib._bootstrap_external>:989(exec_module)
       51    0.000    0.000    0.025    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/urllib/request.py:2670(proxy_bypass_macosx_sysconf)
       51    0.002    0.000    0.025    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/urllib3/connection.py:322(request)
    42/10    0.000    0.000    0.023    0.002 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     11/5    0.000    0.000    0.023    0.005 {built-in method builtins.exec}
       51    0.001    0.000    0.023    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/http/client.py:231(_parse_header_lines)
        1    0.000    0.000    0.022    0.022 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/pandas/io/parquet.py:51(get_engine)
        1    0.000    0.000    0.022    0.022 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/pandas/io/parquet.py:162(__init__)
       51    0.001    0.000    0.022    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/weakref.py:585(__call__)
       51    0.001    0.000    0.021    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/email/parser.py:56(parsestr)
       51    0.001    0.000    0.021    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/urllib3/connectionpool.py:1174(_close_pool_connections)
       51    0.021    0.000    0.021    0.000 {built-in method _scproxy._get_proxy_settings}
       51    0.001    0.000    0.020    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/email/parser.py:41(parse)
        1    0.000    0.000    0.018    0.018 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/pyarrow/parquet/__init__.py:1(<module>)
       51    0.000    0.000    0.018    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/requests/models.py:351(prepare)
        1    0.000    0.000    0.016    0.016 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/pyarrow/parquet/core.py:1(<module>)
       51    0.000    0.000    0.015    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/email/feedparser.py:171(feed)
       51    0.001    0.000    0.015    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/urllib3/connection.py:273(close)
       51    0.000    0.000    0.015    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/urllib/request.py:2697(getproxies)
       51    0.000    0.000    0.015    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/http/client.py:1013(close)
       51    0.000    0.000    0.014    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/requests/adapters.py:446(get_connection_with_tls_context)
      102    0.000    0.000    0.014    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/email/feedparser.py:176(_call_parse)
       51    0.000    0.000    0.014    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/socket.py:500(close)
       51    0.009    0.000    0.014    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/ssl.py:1309(_real_close)
      102    0.002    0.000    0.014    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/email/feedparser.py:216(_parsegen)
      145    0.000    0.000    0.013    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/requests/models.py:890(content)
      561    0.001    0.000    0.013    0.000 {method 'join' of 'bytes' objects}
      102    0.000    0.000    0.012    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/requests/models.py:816(generate)
       51    0.000    0.000    0.012    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/urllib3/poolmanager.py:276(connection_from_host)
      102    0.000    0.000    0.012    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/urllib3/response.py:1038(stream)
        1    0.000    0.000    0.011    0.011 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/pyarrow/parquet/core.py:1875(write_table)
       51    0.000    0.000    0.011    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/urllib3/poolmanager.py:305(connection_from_context)
       51    0.001    0.000    0.011    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/requests/adapters.py:359(build_response)
       51    0.001    0.000    0.011    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/urllib3/response.py:910(read)
       51    0.000    0.000    0.011    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/urllib/request.py:2674(getproxies_macosx_sysconf)
       51    0.011    0.000    0.011    0.000 {built-in method _scproxy._get_proxies}
        1    0.002    0.002    0.011    0.011 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/pandas/core/frame.py:694(__init__)
