         19686 function calls (19009 primitive calls) in 0.063 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.057    0.057 /Users/joshuasigma/Documents/Sigma/museum-dannyGs-codedungeon/transform/transform.py:24(read_parquet)
        1    0.000    0.000    0.057    0.057 /Users/joshuasigma/Documents/Sigma/museum-dannyGs-codedungeon/.venv/lib/python3.12/site-packages/pandas/io/parquet.py:498(read_parquet)
        1    0.001    0.001    0.044    0.044 /Users/joshuasigma/Documents/Sigma/museum-dannyGs-codedungeon/.venv/lib/python3.12/site-packages/pandas/io/parquet.py:239(read)
        1    0.000    0.000    0.041    0.041 /Users/joshuasigma/Documents/Sigma/museum-dannyGs-codedungeon/.venv/lib/python3.12/site-packages/pyarrow/parquet/core.py:1776(read_table)
     30/5    0.000    0.000    0.036    0.007 <frozen importlib._bootstrap>:1349(_find_and_load)
     29/4    0.000    0.000    0.036    0.009 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     26/4    0.000    0.000    0.036    0.009 <frozen importlib._bootstrap>:911(_load_unlocked)
     12/4    0.000    0.000    0.036    0.009 <frozen importlib._bootstrap_external>:989(exec_module)
     70/8    0.000    0.000    0.035    0.004 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     12/4    0.000    0.000    0.035    0.009 {built-in method builtins.exec}
        1    0.006    0.006    0.029    0.029 /Users/joshuasigma/Documents/Sigma/museum-dannyGs-codedungeon/.venv/lib/python3.12/site-packages/pyarrow/parquet/core.py:1276(__init__)
        1    0.000    0.000    0.023    0.023 /Users/joshuasigma/Documents/Sigma/museum-dannyGs-codedungeon/.venv/lib/python3.12/site-packages/pyarrow/dataset.py:1(<module>)
     14/9    0.000    0.000    0.021    0.002 <frozen importlib._bootstrap_external>:1295(exec_module)
     14/9    0.010    0.001    0.021    0.002 {built-in method _imp.exec_dynamic}
       26    0.000    0.000    0.019    0.001 <frozen importlib._bootstrap>:806(module_from_spec)
       14    0.000    0.000    0.019    0.001 <frozen importlib._bootstrap_external>:1287(create_module)
       14    0.019    0.001    0.019    0.001 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.013    0.013 /Users/joshuasigma/Documents/Sigma/museum-dannyGs-codedungeon/.venv/lib/python3.12/site-packages/pandas/io/parquet.py:51(get_engine)
        1    0.000    0.000    0.013    0.013 /Users/joshuasigma/Documents/Sigma/museum-dannyGs-codedungeon/.venv/lib/python3.12/site-packages/pandas/io/parquet.py:162(__init__)
        1    0.012    0.012    0.012    0.012 /Users/joshuasigma/Documents/Sigma/museum-dannyGs-codedungeon/.venv/lib/python3.12/site-packages/pyarrow/parquet/core.py:1420(read)
        1    0.000    0.000    0.011    0.011 /Users/joshuasigma/Documents/Sigma/museum-dannyGs-codedungeon/.venv/lib/python3.12/site-packages/pyarrow/parquet/__init__.py:1(<module>)
